Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,79.78,21.78,43.30,-0.15
0.00:0.00,79.66,21.92,41.61,-0.15
0.00:0.00,79.55,21.89,38.02,-0.16
0.00:0.00,79.44,21.91,37.36,-0.16
0.00:0.00,79.33,21.90,37.78,-0.17
0.00:0.00,79.22,21.86,39.74,-0.18
0.00:0.00,79.10,21.82,41.17,-0.19
0.00:0.00,78.97,21.59,42.66,-0.19
0.00:0.00,78.84,21.74,43.70,-0.19
0.00:0.00,78.72,21.73,43.47,-0.19
0.00:0.00,78.59,21.81,42.36,-0.19
0.00:0.00,78.48,21.78,37.82,-0.19
0.00:0.00,78.37,21.77,38.84,-0.19
0.00:0.00,78.24,21.65,42.17,-0.19
0.00:0.00,78.11,21.64,46.28,-0.19
0.00:0.00,77.99,21.74,41.37,-0.20
0.00:0.00,77.86,21.69,42.46,-0.20
0.00:0.00,77.75,21.81,40.43,-0.21
0.00:0.00,77.63,21.77,40.23,-0.22
0.00:0.00,77.51,21.76,40.05,-0.22
0.00:0.00,77.39,21.64,40.62,-0.21
0.00:0.00,77.26,21.61,44.21,-0.19
0.00:0.00,77.14,21.63,43.69,-0.18
0.00:0.00,77.01,21.63,43.52,-0.18
0.00:0.00,76.89,21.64,41.65,-0.19
0.00:0.00,76.76,21.58,42.35,-0.19
0.00:0.00,76.64,21.69,42.83,-0.19
0.00:0.00,76.51,21.67,42.28,-0.20
0.00:0.00,76.40,21.73,40.50,-0.21
0.00:0.00,76.28,21.70,39.05,-0.21
0.00:0.00,76.16,21.59,40.95,-0.20
0.00:0.00,76.03,21.55,43.16,-0.20
0.00:0.00,75.91,21.64,41.32,-0.21
0.00:0.00,75.80,21.71,38.75,-0.21
0.00:0.00,75.68,21.67,40.56,-0.20
0.00:0.00,75.56,21.55,41.30,-0.20
0.00:0.00,75.44,21.59,42.32,-0.20
0.00:0.00,75.32,21.62,41.40,-0.20
0.00:0.00,75.20,21.67,39.06,-0.21
0.00:0.00,75.08,21.50,43.38,-0.20
0.00:0.00,74.96,21.70,39.99,-0.20
0.00:0.00,74.84,21.66,39.17,-0.20
0.00:0.00,74.73,21.51,39.47,-0.20
0.00:0.00,74.60,21.49,45.20,-0.20
0.00:0.00,74.47,21.51,42.01,-0.21
0.00:0.00,74.36,21.64,39.18,-0.21
0.00:0.00,74.25,21.64,36.98,-0.21
0.00:0.00,74.13,21.46,40.16,-0.19
0.00:0.00,74.00,21.43,43.97,-0.18
0.00:0.00,73.88,21.54,43.83,-0.19
0.00:0.00,73.76,21.49,41.57,-0.20
0.00:0.00,73.63,21.44,44.22,-0.21
0.00:0.00,73.51,21.59,40.36,-0.22
0.00:0.00,73.39,21.53,39.39,-0.21
0.00:0.00,73.28,21.55,37.75,-0.20
0.00:0.00,73.17,21.51,39.98,-0.19
0.00:0.00,73.04,21.52,42.77,-0.19
0.00:0.00,72.91,21.41,43.66,-0.19
0.00:0.00,72.79,21.45,41.77,-0.21
0.00:0.00,72.67,21.46,42.71,-0.21
0.00:0.00,72.54,21.48,42.83,-0.20
0.00:0.00,72.43,21.57,37.82,-0.20
0.00:0.00,72.32,21.56,37.43,-0.19
0.00:0.00,72.20,21.40,40.35,-0.17
0.00:0.00,72.08,21.40,43.50,-0.16
0.00:0.00,71.96,21.46,40.90,-0.16
0.00:0.00,71.84,21.43,40.84,-0.17
0.00:0.00,71.71,21.40,43.66,-0.18
0.00:0.00,71.59,21.34,41.23,-0.19
0.00:0.00,71.46,21.43,43.13,-0.18
0.00:0.00,71.34,21.45,40.81,-0.18
0.00:0.00,71.23,21.44,39.61,-0.17
0.00:0.00,71.11,21.40,41.11,-0.16
0.00:0.00,70.99,21.44,39.70,-0.17
0.00:0.00,70.88,21.48,37.83,-0.17
0.00:0.00,70.77,21.44,38.56,-0.18
0.00:0.00,70.64,21.24,43.91,-0.18
0.00:0.00,70.51,21.37,43.67,-0.18
0.00:0.00,70.39,21.38,40.81,-0.18
0.00:0.00,70.26,21.32,43.81,-0.19
0.00:0.00,70.14,21.40,40.75,-0.19
0.00:0.00,70.03,21.29,40.08,-0.18
0.00:0.00,69.90,21.33,43.25,-0.15
0.00:0.00,69.78,21.36,41.94,-0.14
0.00:0.00,69.67,21.42,37.59,-0.14
0.00:0.00,69.56,21.46,36.41,-0.13
0.00:0.00,69.44,21.33,40.09,-0.10
0.00:0.00,69.32,21.25,41.63,-0.07
0.00:0.00,69.19,21.32,44.08,0.01
0.00:0.00,69.07,21.34,40.80,-0.15
0.00:0.00,68.96,21.23,40.63,-0.17
0.00:0.00,68.83,21.21,42.60,-0.16
0.00:0.00,68.70,21.14,43.70,-0.16
0.00:0.00,68.58,21.17,40.95,-0.17
0.00:0.00,68.46,21.19,42.14,-0.17
0.00:0.00,68.33,21.23,43.25,-0.16
0.00:0.00,68.22,21.26,39.73,-0.18
0.00:0.00,68.10,21.26,38.89,-0.17
0.00:0.00,67.99,21.30,39.58,-0.17
0.00:0.00,67.87,21.15,39.43,-0.19
0.00:0.00,67.75,21.22,43.12,-0.19
0.00:0.00,67.63,21.14,40.89,-0.21
0.00:0.00,67.50,21.13,42.33,-0.20
0.00:0.00,67.38,21.09,43.99,-0.20
0.00:0.00,67.26,21.22,40.72,-0.21
0.00:0.00,67.14,21.16,39.59,-0.21
0.00:0.00,67.02,21.25,41.59,-0.21
0.00:0.00,66.90,21.12,41.69,-0.21
0.00:0.00,66.77,21.06,44.10,-0.21
0.00:0.00,66.65,21.21,40.83,-0.22
0.00:0.00,66.52,21.00,42.35,-0.22
0.00:0.00,66.40,21.14,42.28,-0.23
0.00:0.00,66.28,21.22,39.89,-0.23
0.00:0.00,66.17,21.25,38.41,-0.23
0.00:0.00,66.06,21.11,39.43,-0.23
0.00:0.00,65.93,21.03,43.75,-0.22
0.00:0.00,65.80,21.14,43.31,-0.22
0.00:0.00,65.68,21.13,40.51,-0.21
0.00:0.00,65.56,21.04,41.89,-0.21
0.00:0.00,65.44,21.22,40.42,-0.21
0.00:0.00,65.34,21.19,36.89,-0.22
